61,6560,success
32,4428,fail
64,6552,success
32,4172,fail
64,7320,success
33,4940,fail
18,3348,fail
47,6816,success
16,3128,fail
25,3336,fail
76,6984,success
74,7120,success
59,7240,success
35,5132,fail
68,6952,success
35,4620,fail
68,8488,success
34,6220,fail
18,3348,fail
20,4052,fail
44,6136,fail
51,16240,success
22,4044,fail
70,6904,success
68,6672,success
72,7504,success
36,4556,fail
25,3140,fail
40,4556,fail
41,3140,fail
21,3140,fail
33,4556,fail
29,4428,fail
33,4513,fail
25,4172,fail
29,4321,fail
32,4492,fail
32,4428,fail
32,4556,fail
29,4300,fail
32,4428,fail
76,7072,success
65,6312,success
59,7008,success
30,4300,fail
61,6816,success
61,6304,success
64,7072,success
63,6560,success
18,3348,fail
62,6304,success
63,7072,success
32,4940,fail
31,3753,fail
93,7809,success
88,7049,success
88,8585,success
44,4608,fail
45,4609,fail
46,6145,fail
28,3337,fail
30,3753,fail
31,3753,fail
79,6807,success
32,4171,fail
67,6807,success
32,4427,fail
63,7319,success
33,4939,fail
40,5911,fail
47,11527,success
47,11527,success
